RecipeDB Ingredient,Sueatable Ingredient,Similarity,CF,Count,CF_Range
stock beef,BEEF WITH BONE,0.8112247,19.54,10.0,"[18, 20)"
mushroom beef gravy,BEEF WITH BONE,0.8181977,19.54,10.0,"[18, 20)"
pork trotter,PORK NECK,0.92708087,4.03,10.0,"[4, 6)"
bean bacon soup,BACON,0.8124134,4.03,10.0,"[4, 6)"
matzo farfel,CAMEMBERT,0.82899165,7.55,10.0,"[6, 8)"
burrata cheese,CHEESE,0.92022026,11.87,10.0,"[10, 12)"
robusto cheese,CHEESE SEMIHARD,0.8653754,8.65,10.0,"[8, 10)"
cream heavy,CREAM,0.83380544,5.34,10.0,"[4, 6)"
vegan mozzarella cheese,CHEESE SEMIHARD,0.8404893,8.65,10.0,"[8, 10)"
lamb tenderloin,LAMB WITH BONE,0.8453089,18.01,10.0,"[18, 20)"
vanilla schnapps,VANILLA,0.81133854,4.3,10.0,"[4, 6)"
soppressata,CAMEMBERT,0.82097673,7.55,10.0,"[6, 8)"
ra el hanout,HAKE,0.8110401,10.12,10.0,"[10, 12)"
mozzarella cheddar cheese,CHEESE SEMIHARD,0.8527424,8.65,10.0,"[8, 10)"
lamb broth,LAMB WITH BONE,0.85382116,18.01,10.0,"[18, 20)"
beef tenderloin filet,BEEF WITH BONE,0.87941855,19.54,10.0,"[18, 20)"
submarine,SQUID,0.81638175,7.51,10.0,"[6, 8)"
conchiglie,STRACCHINO,0.9182459,4.92,10.0,"[4, 6)"
rigatoni,PARMIGIANO REGGIANO,0.81567085,14.08,10.0,"[14, 16)"
panela cheese,CHEESE,0.8940375,11.87,10.0,"[10, 12)"
chevre goat cheese,GOAT CHEESE,0.9494939,8.18,10.0,"[8, 10)"
beef ramen noodle,BEEF WITH BONE,0.8222764,19.54,10.0,"[18, 20)"
gjetost cheese,CHEESE,0.89682585,11.87,10.0,"[10, 12)"
pastis,CAMEMBERT,0.83703506,7.55,10.0,"[6, 8)"
butter flavoring,BUTTER,0.84349436,9.9,10.0,"[8, 10)"
beef tripe,BEEF WITH BONE,0.8866375,19.54,8.0,"[18, 20)"
bulk hot pork sausage,PORK SAUSAGE,0.88068587,17.94,8.0,"[16, 18)"
beef back rib,BEEF WITH BONE,0.91498584,19.54,8.0,"[18, 20)"
sausage gravy,PORK SAUSAGE,0.89292157,17.94,8.0,"[16, 18)"
fromage,EMMENTAL,0.8403933,8.2,8.0,"[8, 10)"
beef pot roast,PORK SAUSAGE,0.8214356,17.94,8.0,"[16, 18)"
pastina,CAMEMBERT,0.8349967,7.55,8.0,"[6, 8)"
fillet walleye,PORBEAGLE,0.81792617,11.44,8.0,"[10, 12)"
caul,HAKE,0.8470496,10.12,8.0,"[10, 12)"
vegetable beef soup,BEEF WITH BONE,0.83413917,19.54,8.0,"[18, 20)"
basa fillet,PORBEAGLE,0.81050074,11.44,8.0,"[10, 12)"
fiesta nacho cheese soup,CHEESE SEMIHARD,0.83467704,8.65,8.0,"[8, 10)"
peameal bacon,BACON,0.9069239,4.03,8.0,"[4, 6)"
lobster stock,LOBSTER,0.89236367,19.3,8.0,"[18, 20)"
pod okra,EMMENTAL,0.82446766,8.2,8.0,"[8, 10)"
sausage dripping,PORK SAUSAGE,0.83669233,17.94,8.0,"[16, 18)"
kraft english cheese spread,CHEESE SEMIHARD,0.8650505,8.65,8.0,"[8, 10)"
piloncillo,PECORINO,0.8261309,18.85,8.0,"[18, 20)"
pork breakfast sausage,PORK SAUSAGE,0.92043555,17.94,8.0,"[16, 18)"
beef loin,BEEF WITH BONE,0.91012406,19.54,8.0,"[18, 20)"
spreadable goat cheese,GOAT CHEESE,0.87038124,8.18,8.0,"[8, 10)"
pork sirloin,PORK HAM,0.8965124,7.93,8.0,"[6, 8)"
tagliolini,STRACCHINO,0.88374007,4.92,8.0,"[4, 6)"
tofutti cream,CREAM,0.869292,5.34,8.0,"[4, 6)"
lamb leg chop,LAMB WITH BONE,0.85989535,18.01,8.0,"[18, 20)"
jalapeno havarti cheese,CHEESE SEMIHARD,0.8291772,8.65,8.0,"[8, 10)"
cooking cream,CREAM,0.81464,5.34,8.0,"[4, 6)"
bite mozzarella cheese ball,CHEESE SEMIHARD,0.8133209,8.65,8.0,"[8, 10)"
aburage,HAKE,0.84388566,10.12,8.0,"[10, 12)"
chocolate sauce,CHOCOLATE,0.9390212,6.6,8.0,"[6, 8)"
pork filet,PORK NECK,0.94282985,4.03,8.0,"[4, 6)"
cheese cheddar,CHEESE SEMIHARD,0.8979517,8.65,8.0,"[8, 10)"
matzoh,HAKE,0.8741665,10.12,8.0,"[10, 12)"
rib eye steak each,BEEF WITH BONE,0.82098687,19.54,8.0,"[18, 20)"
venison stew meat,PORK SAUSAGE,0.8101604,17.94,8.0,"[16, 18)"
de leche,HAKE,0.8573515,10.12,8.0,"[10, 12)"
extra pork,PORK SAUSAGE,0.84404546,17.94,8.0,"[16, 18)"
vanilla chip,VANILLA,0.87369305,4.3,8.0,"[4, 6)"
side bacon,BACON,0.95300764,4.03,8.0,"[4, 6)"
veg,CAMEMBERT,0.81376797,7.55,8.0,"[6, 8)"
certo,CAMEMBERT,0.8823756,7.55,8.0,"[6, 8)"
fontinella cheese,CHEESE,0.849911,11.87,8.0,"[10, 12)"
beef medallion,BEEF WITH BONE,0.9090295,19.54,8.0,"[18, 20)"
butter oil,BUTTER,0.89523256,9.9,8.0,"[8, 10)"
almond extract vanilla,ALMOND CHOCOLATE,0.84321725,4.8,8.0,"[4, 6)"
beef steak fillet,BEEF WITH BONE,0.8891485,19.54,8.0,"[18, 20)"
mahleb,HAKE,0.85039777,10.12,8.0,"[10, 12)"
curd cheese,CHEESE,0.88151443,11.87,8.0,"[10, 12)"
pepper bacon,BACON,0.88945293,4.03,8.0,"[4, 6)"
beef t steak,BEEF WITH BONE,0.88718385,19.54,8.0,"[18, 20)"
gammon steak,BEEF WITH BONE,0.8185567,19.54,8.0,"[18, 20)"
feta cheese herb,CHEESE SEMIHARD,0.84996206,8.65,8.0,"[8, 10)"
beef chuck shoulder pot roast,PORK SAUSAGE,0.81143856,17.94,8.0,"[16, 18)"
tempura shrimp,SHRIMP,0.9002106,11.95,8.0,"[10, 12)"
bresaola,STRACCHINO,0.89316046,4.92,8.0,"[4, 6)"
potato cheese pierogies,CHEESE SEMIHARD,0.8111675,8.65,6.0,"[8, 10)"
beef double bouillon cube,BEEF WITH BONE,0.8264146,19.54,6.0,"[18, 20)"
gai lan,HAKE,0.84053165,10.12,6.0,"[10, 12)"
brioche,CAMEMBERT,0.8467228,7.55,6.0,"[6, 8)"
pork tongue,PORK NECK,0.9660781,4.03,6.0,"[4, 6)"
pork chicharron,PORK HAM,0.90934235,7.93,6.0,"[6, 8)"
fatty pork,PORK NECK,0.8517985,4.03,6.0,"[4, 6)"
chermoula,HAKE,0.8330651,10.12,6.0,"[10, 12)"
crayfish,SWARDFISH,0.88646054,12.84,6.0,"[12, 14)"
cucuzza,CAMEMBERT,0.8316593,7.55,6.0,"[6, 8)"
tubetti,PECORINO,0.836006,18.85,6.0,"[18, 20)"
filbert,CAMEMBERT,0.82850134,7.55,6.0,"[6, 8)"
beef stew,BEEF WITH BONE,0.86804867,19.54,6.0,"[18, 20)"
labneh,EMMENTAL,0.8293916,8.2,6.0,"[8, 10)"
honeycomb beef tripe,BEEF WITH BONE,0.8412186,19.54,6.0,"[18, 20)"
chocolate egg,CHOCOLATE,0.8849576,6.6,6.0,"[6, 8)"
caciocavallo,STRACCHINO,0.8658124,4.92,6.0,"[4, 6)"
liver sausage,PORK SAUSAGE,0.8285132,17.94,6.0,"[16, 18)"
hamour fillet,HAKE,0.8500459,10.12,6.0,"[10, 12)"
capon,CAMEMBERT,0.8733556,7.55,6.0,"[6, 8)"
raita,HAKE,0.865388,10.12,6.0,"[10, 12)"
kraft cheese,CHEESE SEMIHARD,0.8622488,8.65,6.0,"[8, 10)"
rock lobster tail,LOBSTER,0.82849896,19.3,6.0,"[18, 20)"
lamb mince,LAMB WITH BONE,0.86566097,18.01,6.0,"[18, 20)"
lamb sausage,PORK SAUSAGE,0.84362894,17.94,6.0,"[16, 18)"
bel paese cheese,CHEESE,0.84247684,11.87,6.0,"[10, 12)"
campbell beef consomme soup,BEEF WITH BONE,0.8150882,19.54,6.0,"[18, 20)"
kashk,HAKE,0.85452336,10.12,6.0,"[10, 12)"
poha,HAKE,0.8355055,10.12,6.0,"[10, 12)"
robiola cheese,CHEESE SEMIHARD,0.89350605,8.65,6.0,"[8, 10)"
optional,SOLE,0.8414453,5.4,6.0,"[4, 6)"
sheep milk cheese,GOAT CHEESE,0.8241867,8.18,6.0,"[8, 10)"
pork tenderloin roast,PORK SAUSAGE,0.886849,17.94,6.0,"[16, 18)"
vegetarian beef broth,BEEF BONE FREE,0.81787914,27.72,6.0,"[26, 28)"
crayfish tail,SWARDFISH,0.87968826,12.84,6.0,"[12, 14)"
muscatel,CAMEMBERT,0.8401099,7.55,6.0,"[6, 8)"
rindless streaky bacon,BACON,0.816916,4.03,6.0,"[4, 6)"
beef gravy granule,BEEF WITH BONE,0.8484864,19.54,6.0,"[18, 20)"
cheese choice,CHEESE SEMIHARD,0.8623401,8.65,6.0,"[8, 10)"
irish bacon,BACON,0.826954,4.03,6.0,"[4, 6)"
tempeh bacon,BACON,0.9331158,4.03,6.0,"[4, 6)"
kraft monterey jack cheese,CHEESE SEMIHARD,0.81576777,8.65,6.0,"[8, 10)"
kraft english cheese,CHEESE SEMIHARD,0.8357612,8.65,6.0,"[8, 10)"
kangaroo meat,KANGAROO MEAT,1.0000002,4.1,6.0,"[4, 6)"
sausage choice,PORK SAUSAGE,0.84010696,17.94,6.0,"[16, 18)"
beef stock granule,BEEF WITH BONE,0.85316586,19.54,6.0,"[18, 20)"
lamb sirloin,LAMB WITH BONE,0.83849865,18.01,6.0,"[18, 20)"
za'atar,CAMEMBERT,0.82157665,7.55,6.0,"[6, 8)"
masa,HAKE,0.850157,10.12,6.0,"[10, 12)"
chipolata sausage,PORK SAUSAGE,0.83823377,17.94,6.0,"[16, 18)"
peppered bacon,BACON,0.9227235,4.03,6.0,"[4, 6)"
cream syrup,CREAM,0.912744,5.34,6.0,"[4, 6)"
yabbies,HAKE,0.82715183,10.12,6.0,"[10, 12)"
lamb blade chop,LAMB WITH BONE,0.8548646,18.01,6.0,"[18, 20)"
margarine butter,BUTTER,0.8352919,9.9,6.0,"[8, 10)"
ball mozzarella cheese,CHEESE SEMIHARD,0.8532978,8.65,6.0,"[8, 10)"
beef frankfurter,BEEF WITH BONE,0.87959206,19.54,6.0,"[18, 20)"
asiago parmesan cheese,CHEESE SEMIHARD,0.8763648,8.65,6.0,"[8, 10)"
kangaroo mincemeat,KANGAROO MEAT,0.8435643,4.1,6.0,"[4, 6)"
cream may,CREAM,0.9239115,5.34,6.0,"[4, 6)"
portuguese chourico sausage,PORK SAUSAGE,0.82166094,17.94,6.0,"[16, 18)"
chourico sausage,PORK SAUSAGE,0.84357774,17.94,6.0,"[16, 18)"
pork herb sausage,PORK SAUSAGE,0.9431069,17.94,6.0,"[16, 18)"
flat,SOLE,0.89143634,5.4,6.0,"[4, 6)"
anejo cheese,CHEESE SEMIHARD,0.86273205,8.65,6.0,"[8, 10)"
beef silverside,BEEF WITH BONE,0.89723396,19.54,6.0,"[18, 20)"
monkfish fillet,SWARDFISH,0.8151436,12.84,6.0,"[12, 14)"
wensleydale cheese,CHEESE,0.8370323,11.87,6.0,"[10, 12)"
kraft milk cheddar cheese,CHEESE SEMIHARD,0.8397174,8.65,6.0,"[8, 10)"
pork tenderloin crosswise,PORK SAUSAGE,0.85319453,17.94,6.0,"[16, 18)"
capacola sausage,PORK SAUSAGE,0.8229101,17.94,6.0,"[16, 18)"
bulk spicy pork sausage,PORK SAUSAGE,0.8985053,17.94,6.0,"[16, 18)"
burghul,CAMEMBERT,0.84622693,7.55,6.0,"[6, 8)"
bleu cheese,CHEESE SEMIHARD,0.87656176,8.65,6.0,"[8, 10)"
pork tenderloin each,PORK SAUSAGE,0.881747,17.94,6.0,"[16, 18)"
queso asadero,GRANA PADANO,0.83418095,14.27,6.0,"[14, 16)"
beef stew seasoning,BEEF WITH BONE,0.83124125,19.54,6.0,"[18, 20)"
beef each,BEEF WITH BONE,0.88970006,19.54,6.0,"[18, 20)"
kraft mozzarella,MOZZARELLA,0.81552035,8.48,6.0,"[8, 10)"
shark steak,SHARK,0.8342999,10.09,6.0,"[10, 12)"
string cheese,CHEESE,0.8397839,11.87,6.0,"[10, 12)"
shrimp lengthwise,SHRIMP,0.89380896,11.95,6.0,"[10, 12)"
center pork loin roast,PORK SAUSAGE,0.8769988,17.94,6.0,"[16, 18)"
extra cheddar cheese,CHEESE SEMIHARD,0.8503766,8.65,6.0,"[8, 10)"
cream substitute,CREAM,0.93778455,5.34,6.0,"[4, 6)"
kokum,HAKE,0.8359407,10.12,6.0,"[10, 12)"
beef stock veal,BEEF WITH BONE,0.8552519,19.54,6.0,"[18, 20)"
cheese food velveeta,CHEESE SEMIHARD,0.90292597,8.65,6.0,"[8, 10)"
pork heart,PORK NECK,0.96714985,4.03,6.0,"[4, 6)"
chavrie goat cheese,GOAT CHEESE,0.936054,8.18,6.0,"[8, 10)"
beef brain,BEEF WITH BONE,0.89767325,19.54,6.0,"[18, 20)"
butternut,BUTTER,0.85387266,9.9,6.0,"[8, 10)"
beef bacon,BEEF WITH BONE,0.87037957,19.54,6.0,"[18, 20)"
butter extract,BUTTER,0.9010193,9.9,6.0,"[8, 10)"
beef eye roast,BEEF WITH BONE,0.8487801,19.54,6.0,"[18, 20)"
chocolate bit,CHOCOLATE,0.97710645,6.6,6.0,"[6, 8)"
korean rib beef chuck flanken,BEEF WITH BONE,0.8192594,19.54,6.0,"[18, 20)"
chard,HAKE,0.8585852,10.12,6.0,"[10, 12)"
pork spare rib,PORK HAM,0.91903245,7.93,6.0,"[6, 8)"
loquat,HAKE,0.8794848,10.12,6.0,"[10, 12)"
roast lamb,PORK SAUSAGE,0.8315581,17.94,6.0,"[16, 18)"
beef roast seasoning,BEEF WITH BONE,0.83141387,19.54,6.0,"[18, 20)"
lamb shoulder chop,LAMB WITH BONE,0.8531969,18.01,6.0,"[18, 20)"
italian sausage beef,PORK SAUSAGE,0.8341239,17.94,6.0,"[16, 18)"
lamb breast,LAMB WITH BONE,0.8457592,18.01,6.0,"[18, 20)"
veggie crumbles beef,BEEF WITH BONE,0.8668108,19.54,6.0,"[18, 20)"
turkey sausage link,PORK SAUSAGE,0.83127534,17.94,6.0,"[16, 18)"
gulf shrimp,SHRIMP,0.8201996,11.95,6.0,"[10, 12)"
pork vegetable oil,PORK SAUSAGE,0.85400945,17.94,6.0,"[16, 18)"
bulk chorizo sausage,PORK SAUSAGE,0.85198766,17.94,6.0,"[16, 18)"
home beef gravy,BEEF WITH BONE,0.81918806,19.54,6.0,"[18, 20)"
frito,PORBEAGLE,0.8149831,11.44,6.0,"[10, 12)"
beef tri tip,BEEF WITH BONE,0.8566493,19.54,6.0,"[18, 20)"
fillet rockfish,ROCK FISH,0.9145453,6.94,6.0,"[6, 8)"
crabapple,LOBSTER,0.8155361,19.3,6.0,"[18, 20)"
sage pork sausage,PORK SAUSAGE,0.9374206,17.94,6.0,"[16, 18)"
cantal cheese,CHEESE SEMIHARD,0.88579404,8.65,6.0,"[8, 10)"
panko,HAKE,0.82960737,10.12,6.0,"[10, 12)"
velveeta pepper jack cheese,CHEESE SEMIHARD,0.83284074,8.65,6.0,"[8, 10)"
oka cheese,CHEESE,0.90697753,11.87,6.0,"[10, 12)"
part cottage cheese,CHEESE SEMIHARD,0.81000906,8.65,4.0,"[8, 10)"
kraft reg ; parmesan cheese,CHEESE SEMIHARD,0.8668928,8.65,4.0,"[8, 10)"
cheddar cheese sauce,CHEESE SEMIHARD,0.86675686,8.65,4.0,"[8, 10)"
limburger cheese,CHEESE,0.839041,11.87,4.0,"[10, 12)"
standing beef rib roast,BEEF WITH BONE,0.8251097,19.54,4.0,"[18, 20)"
beef arm roast,BEEF WITH BONE,0.8468247,19.54,4.0,"[18, 20)"
averna amaro,GRANA PADANO,0.8338866,14.27,4.0,"[14, 16)"
chipotle cheddar cheese,CHEESE SEMIHARD,0.8487457,8.65,4.0,"[8, 10)"
pork veal,PORK HAM,0.92796546,7.93,4.0,"[6, 8)"
goat cheese cream,GOAT CHEESE,0.8819147,8.18,4.0,"[8, 10)"
nonpareil,SOLE,0.8459778,5.4,4.0,"[4, 6)"
pork blood,PORK NECK,0.8807403,4.03,4.0,"[4, 6)"
bacon joint,BACON,0.9437599,4.03,4.0,"[4, 6)"
el,EMMENTAL,0.8581975,8.2,4.0,"[8, 10)"
requeson cheese,CHEESE,0.88495326,11.87,4.0,"[10, 12)"
lamb gravy,LAMB WITH BONE,0.8503469,18.01,4.0,"[18, 20)"
extra cream,CREAM,0.8830841,5.34,4.0,"[4, 6)"
four cheese,CHEESE,0.82798606,11.87,4.0,"[10, 12)"
pork sausage dean,PORK SAUSAGE,0.95891875,17.94,4.0,"[16, 18)"
comino,PECORINO,0.89097095,18.85,4.0,"[18, 20)"
rennet,CAMEMBERT,0.8229424,7.55,4.0,"[6, 8)"
jalapeno cheddar cheese dip,CHEESE SEMIHARD,0.8153422,8.65,4.0,"[8, 10)"
campbell beef consomme,BEEF WITH BONE,0.8537506,19.54,4.0,"[18, 20)"
gimmie sausage flavor,PORK SAUSAGE,0.83363533,17.94,4.0,"[16, 18)"
savory beef gravy,BEEF WITH BONE,0.8265087,19.54,4.0,"[18, 20)"
lobster shell,LOBSTER,0.91024476,19.3,4.0,"[18, 20)"
kraft macaroni cheese mix,CHEESE SEMIHARD,0.8487067,8.65,4.0,"[8, 10)"
scampi,STRACCHINO,0.8537202,4.92,4.0,"[4, 6)"
shrimp shell,SHRIMP,0.95321864,11.95,4.0,"[10, 12)"
beef chuck meat,BEEF WITH BONE,0.9001672,19.54,4.0,"[18, 20)"
nacho cheese chip,CHEESE SEMIHARD,0.8768179,8.65,4.0,"[8, 10)"
heinz beef gravy,BEEF WITH BONE,0.8132719,19.54,4.0,"[18, 20)"
cheese cracker,CHEESE SEMIHARD,0.89068854,8.65,4.0,"[8, 10)"
beef chuck shoulder steak,BEEF WITH BONE,0.8869072,19.54,4.0,"[18, 20)"
vegetable stock beef,BEEF WITH BONE,0.83563054,19.54,4.0,"[18, 20)"
beef tip gravy,BEEF WITH BONE,0.89354455,19.54,4.0,"[18, 20)"
surimi,HAKE,0.8606118,10.12,4.0,"[10, 12)"
rack pork back rib,PORK SAUSAGE,0.88042223,17.94,4.0,"[16, 18)"
alouette spreadable cheese herb,CHEESE SEMIHARD,0.8274317,8.65,4.0,"[8, 10)"
pork chop tenderloin,PORK SAUSAGE,0.8814386,17.94,4.0,"[16, 18)"
beef cheek,BEEF WITH BONE,0.8936255,19.54,4.0,"[18, 20)"
okara,EMMENTAL,0.8157345,8.2,4.0,"[8, 10)"
meatloaf mix beef pork veal,PORK SAUSAGE,0.8115445,17.94,4.0,"[16, 18)"
meatloaf mixture beef,BEEF WITH BONE,0.87645936,19.54,4.0,"[18, 20)"
plaice fillet,PLAICE,0.8928691,6.13,4.0,"[6, 8)"
pig stomach,PORK NECK,0.81604594,4.03,4.0,"[4, 6)"
artificial vanilla flavoring,VANILLA,0.8169172,4.3,4.0,"[4, 6)"
butter powder,BUTTER,0.88479966,9.9,4.0,"[8, 10)"
mccormick beef stew seasoning,BEEF WITH BONE,0.8210224,19.54,4.0,"[18, 20)"
pork turkey,PORK HAM,0.8703032,7.93,4.0,"[6, 8)"
veal sausage,PORK SAUSAGE,0.85048985,17.94,4.0,"[16, 18)"
mccormick beef seasoning,BEEF WITH BONE,0.83474165,19.54,4.0,"[18, 20)"
cheese danish,CHEESE SEMIHARD,0.8558152,8.65,4.0,"[8, 10)"
sirloin pork chop,PORK SAUSAGE,0.9062041,17.94,4.0,"[16, 18)"
lobster head,LOBSTER,0.95523775,19.3,4.0,"[18, 20)"
rutland cheese,CHEESE,0.84809977,11.87,4.0,"[10, 12)"
beef shoulder chuck roast,PORK SAUSAGE,0.8279857,17.94,4.0,"[16, 18)"
beef rib eye,BEEF WITH BONE,0.9174416,19.54,4.0,"[18, 20)"
perciatelli,PARMIGIANO REGGIANO,0.88353884,14.08,4.0,"[14, 16)"
sandwich sauce,BACON,0.8235221,4.03,4.0,"[4, 6)"
dipping chocolate,CHOCOLATE,0.8766544,6.6,4.0,"[6, 8)"
choice beef stew,BEEF WITH BONE,0.8113359,19.54,4.0,"[18, 20)"
beaufort cheese,CHEESE,0.8642832,11.87,4.0,"[10, 12)"
myoga,EMMENTAL,0.8401345,8.2,4.0,"[8, 10)"
cepes,HAKE,0.87154794,10.12,4.0,"[10, 12)"
smokies sausage,PORK SAUSAGE,0.84917885,17.94,4.0,"[16, 18)"
boursin spreadable cheese herb,CHEESE SEMIHARD,0.81358373,8.65,4.0,"[8, 10)"
mitsuba,HAKE,0.81770194,10.12,4.0,"[10, 12)"
rabbit joint,RABBIT WITH BONE,0.8182231,4.31,4.0,"[4, 6)"
goat cheese chevre,GOAT CHEESE,0.9423994,8.18,4.0,"[8, 10)"
sharp cheese,CHEESE,0.82145435,11.87,4.0,"[10, 12)"
risoni,CAMEMBERT,0.85215634,7.55,4.0,"[6, 8)"
cheddar cheese cube,CHEESE SEMIHARD,0.8577743,8.65,4.0,"[8, 10)"
emu,EMMENTAL,0.87015384,8.2,4.0,"[8, 10)"
side pork,PORK NECK,0.9340053,4.03,4.0,"[4, 6)"
chorizo sausage diagonally,PORK SAUSAGE,0.84691554,17.94,4.0,"[16, 18)"
kangaroo fillet beef,KANGAROO MEAT,0.821094,4.1,4.0,"[4, 6)"
cherimoya,HAKE,0.83771163,10.12,4.0,"[10, 12)"
shrimp juice,SHRIMP,0.8854871,11.95,4.0,"[10, 12)"
cuttlefish,CUTTLEFISH,1.0,5.05,4.0,"[4, 6)"
candy chocolate,ALMOND CHOCOLATE,0.877988,4.8,4.0,"[4, 6)"
beef tip meat,BEEF WITH BONE,0.91491187,19.54,4.0,"[18, 20)"
cheese cloth,CHEESE,0.89979464,11.87,4.0,"[10, 12)"
panch phoran,CAMEMBERT,0.81133026,7.55,4.0,"[6, 8)"
beef seasoning,BEEF WITH BONE,0.87939286,19.54,4.0,"[18, 20)"
tilsiter cheese,CHEESE,0.86294496,11.87,4.0,"[10, 12)"
mawa,HAKE,0.8421111,10.12,4.0,"[10, 12)"
glace de viande,CAMEMBERT,0.85345185,7.55,4.0,"[6, 8)"
pork brisket,PORK SAUSAGE,0.8673811,17.94,4.0,"[16, 18)"
pork ramen noodle,PORK HAM,0.8799458,7.93,4.0,"[6, 8)"
koshi,HAKE,0.825662,10.12,4.0,"[10, 12)"
joint beef,BEEF WITH BONE,0.87785304,19.54,4.0,"[18, 20)"
hon dashi,HAKE,0.81104034,10.12,4.0,"[10, 12)"
yam 'suran,HAKE,0.82707614,10.12,4.0,"[10, 12)"
vegetarian chicken strip,CHICKEN BONE FREE,0.81564,4.24,4.0,"[4, 6)"
toblerone chocolate,CHOCOLATE,0.9225428,6.6,4.0,"[6, 8)"
pork roast butt,PORK SAUSAGE,0.90503657,17.94,4.0,"[16, 18)"
sea urchin roe,SWARDFISH,0.8148614,12.84,4.0,"[12, 14)"
pork gravy mix,PORK SAUSAGE,0.909778,17.94,4.0,"[16, 18)"
cheddar cheese soup nacho,CHEESE SEMIHARD,0.8251471,8.65,4.0,"[8, 10)"
pork sirloin tip roast,PORK SAUSAGE,0.863714,17.94,4.0,"[16, 18)"
shrimp broth,SHRIMP,0.87123513,11.95,4.0,"[10, 12)"
butter flavor extract,BUTTER,0.8328469,9.9,4.0,"[8, 10)"
beef tortellini,BEEF WITH BONE,0.8734471,19.54,4.0,"[18, 20)"
pork blade roast,PORK SAUSAGE,0.8775498,17.94,4.0,"[16, 18)"
goat cheese feta,GOAT CHEESE,0.9240567,8.18,4.0,"[8, 10)"
tostados,GRANA PADANO,0.86449593,14.27,4.0,"[14, 16)"
cheese mexican,CHEESE SEMIHARD,0.8276355,8.65,4.0,"[8, 10)"
chorizo sausage link,PORK SAUSAGE,0.8520989,17.94,4.0,"[16, 18)"
burata cheese,CHEESE,0.8843674,11.87,4.0,"[10, 12)"
stracchino cheese,CHEESE SEMIHARD,0.8467017,8.65,4.0,"[8, 10)"
lamb kidney beef,BEEF WITH BONE,0.8358762,19.54,4.0,"[18, 20)"
trassi oedang,HAKE,0.86210465,10.12,4.0,"[10, 12)"
pork chop loin,PORK SAUSAGE,0.90385693,17.94,4.0,"[16, 18)"
morningstar farm veggie bacon strip,BACON,0.81922907,4.03,4.0,"[4, 6)"
american cheese spread,CHEESE SEMIHARD,0.8122936,8.65,4.0,"[8, 10)"
pre crepe,PLAICE,0.82329017,6.13,4.0,"[6, 8)"
spaetzle dumpling,PORBEAGLE,0.82322335,11.44,4.0,"[10, 12)"
veal beef pork,PORK SAUSAGE,0.8929554,17.94,4.0,"[16, 18)"
earth balance buttery,BUTTER,0.82826984,9.9,4.0,"[8, 10)"
non pareils,SOLE,0.8405676,5.4,4.0,"[4, 6)"
meat pork beef,PORK SAUSAGE,0.88811195,17.94,4.0,"[16, 18)"
pork pate,PORK NECK,0.9470747,4.03,4.0,"[4, 6)"
chocolate coin,CHOCOLATE,0.8797166,6.6,4.0,"[6, 8)"
manouri cheese,CHEESE,0.85077536,11.87,4.0,"[10, 12)"
kangaroo tail,KANGAROO MEAT,0.831578,4.1,4.0,"[4, 6)"
focaccia,PECORINO,0.8750043,18.85,4.0,"[18, 20)"
crisco reg,PARMIGIANO REGGIANO,0.8596034,14.08,4.0,"[14, 16)"
marlin steak,BEEF WITH BONE,0.8228431,19.54,4.0,"[18, 20)"
beef bouillon stock,BEEF WITH BONE,0.84672886,19.54,4.0,"[18, 20)"
kadaifi,HAKE,0.8692621,10.12,4.0,"[10, 12)"
emeril itailian essence,EMMENTAL,0.83573204,8.2,4.0,"[8, 10)"
pork crackling,PORK HAM,0.8797741,7.93,4.0,"[6, 8)"
non spray,SOLE,0.846539,5.4,4.0,"[4, 6)"
rolo chocolate,CHOCOLATE,0.91793865,6.6,4.0,"[6, 8)"
asiago mozzarella cheese,CHEESE SEMIHARD,0.8402927,8.65,4.0,"[8, 10)"
marrons,HAKE,0.8434193,10.12,4.0,"[10, 12)"
tortiglioni,STRACCHINO,0.8789556,4.92,4.0,"[4, 6)"
kraft tex mex cheese,CHEESE SEMIHARD,0.81529915,8.65,4.0,"[8, 10)"
link beef sausage,BEEF WITH BONE,0.87450886,19.54,4.0,"[18, 20)"
chocolate mix,CHOCOLATE,0.95304984,6.6,4.0,"[6, 8)"
chocolate spread,CHOCOLATE,0.95859766,6.6,4.0,"[6, 8)"
bacon crosswise,BACON,0.9098891,4.03,4.0,"[4, 6)"
deli roast pork loin,PORK SAUSAGE,0.85807204,17.94,4.0,"[16, 18)"
kraft macaroni cheese,CHEESE SEMIHARD,0.85810655,8.65,4.0,"[8, 10)"
venison beef,BEEF WITH BONE,0.87763476,19.54,4.0,"[18, 20)"
clear chicken stock,CHICKEN BONE FREE,0.8289797,4.24,4.0,"[4, 6)"
urfa biber,CAMEMBERT,0.84486455,7.55,4.0,"[6, 8)"
vanilla rum,VANILLA,0.8449769,4.3,4.0,"[4, 6)"
wedge brie cheese,CHEESE SEMIHARD,0.8800497,8.65,4.0,"[8, 10)"
beef marinade,BEEF WITH BONE,0.89286935,19.54,4.0,"[18, 20)"
pork back,PORK NECK,0.94507146,4.03,4.0,"[4, 6)"
kraft moisture part mozzarella cheese,CHEESE SEMIHARD,0.86379796,8.65,4.0,"[8, 10)"
parmigiano reggiano,PARMIGIANO REGGIANO,1.0000002,14.08,4.0,"[14, 16)"
