RecipeDB Ingredient,Sueatable Ingredient,Similarity,CF
garlic herb goat cheese,GOAT CHEESE,0.86594903,8.18
raspberry jelly crystal,CRANBERRY JUICE,0.87824833,2.88
rainbow trout,TROUT,0.87492085,3.65
orange juice lime,ORANGE JUICE,0.94505876,0.62
tostitos,CAMEMBERT,0.8504161,7.55
pork shoulder blade roast,PORK SAUSAGE,0.8679489,17.94
red pepper strip,RED CHILLI,0.84188414,0.8
rock shrimp,ROCK FISH,0.88276637,6.94
breading,BREAD WHOLE,0.8904784,0.78
strawberry puree,STRAWBERRY,0.95147955,0.68
chicken breast turkey,CHICKEN WITH BONE,0.8729722,3.25
caperberries,PLAICE,0.82399225,6.13
fish roe,FISH STICK,0.8919908,2.26
pumpkin spice,PUMPKIN,0.91479295,0.38
ice cream cone,ICE CREAM,0.9609211,1.02
lemon juice concentrate,LEMON,0.8470304,0.22
cockle,WHITING,0.82602704,2.66
sesame seed paste,SESAME SEED,0.95429045,0.88
center pork loin chop,PORK SAUSAGE,0.8978996,17.94
chop suey vegetable,TOMATO CHOP,0.85253733,1.41
baby tomato,TOMATO,0.88709867,0.48
chicken gumbo soup,CHICKEN WITH BONE,0.8428151,3.25
broccoli cheese soup,CHEESE SEMIHARD,0.8128387,8.65
char siu pork,PORK NECK,0.88570035,4.03
rice brown,RICE,0.8544672,2.54
nut cashew,CASHEW NUT,0.95414793,1.56
green pumpkin seed,GREEN BEAN,0.8675934,0.73
vegetable stock base,VEGETABLE,0.82443595,0.69
campbell fiesta nacho cheese soup,CHEESE SEMIHARD,0.8263563,8.65
sugar strawberry jam,STRAWBERRY JUICE,0.9108975,2.68
zucchini blossom,ZUCCHINI,0.91213953,0.65
fish fillet halibut,HAKE FISH STICK,0.83997405,2.14
chunk pineapple,PINEAPPLE,0.9038328,0.34
goya garlic,GARLIC,0.9340154,0.67
cracker meal,FLAVOR CRACKER,0.8793105,1.01
steak spice,BEEF WITH BONE,0.8306934,19.54
godiva dark chocolate bar,DARK CHOCOLATE,0.89501965,2.67
egg lengthwise,EGG,0.8443153,3.23
baking chocolate square,CHOCOLATE CREAM COOKY,0.8802224,1.69
earth balance margarine,MARGARINE,0.8419434,1.43
stew meat beef,BEEF WITH BONE,0.88106203,19.54
grain wheat flour,WHOLE WHEAT FLOUR,0.934304,0.38
swanson chicken broth,CHICKEN WITH BONE,0.8322503,3.25
broccoli spear,BROCCOLI,0.857293,0.67
pork rib roast,PORK SAUSAGE,0.8918243,17.94
blue grape,BLUEBERRY,0.8613307,0.64
pork bouillon cube,PORK HAM,0.88413936,7.93
beef tip roast,PORK SAUSAGE,0.8386771,17.94
mango rum,MANGO JUICE,0.89875895,2.96
mango chunk,MANGO,0.91258484,0.33
green chutney,GREEN BEAN,0.83009595,0.73
loaf challah,BREAD MULTICEREAL,0.8277099,0.7
hibiscus,RADISH,0.81705624,0.15
velveeta cheese product,CHEESE SEMIHARD,0.81911814,8.65
butter cake mix,COCOA CAKE,0.8384042,1.97
dulce de leche ice cream,ICE CREAM,0.92747283,1.02
orange juice apple,APPLE JUICE,0.9066309,2.84
vegetable oil sesame,SESAME SEED,0.8789976,0.88
orange juice liqueur,ORANGE JUICE,0.8780411,0.62
verjuice,CAMEMBERT,0.82516456,7.55
oetker vanilla sugar,HAZELNUT CREAM,0.8195677,2.71
bisto,HAKE,0.8619261,10.12
nacho cheese dip,CHEESE SEMIHARD,0.8530014,8.65
soy crumbles,SOY MEAL,0.811687,0.62
stock beef,BEEF WITH BONE,0.8112247,19.54
kaffir lime zest,LIME,0.829406,0.22
mushroom beef gravy,BEEF WITH BONE,0.8181977,19.54
chocolate drink mix,CHOCOLATE CREAM COOKY,0.8966158,1.69
orange pepper,ORANGE JUICE,0.84368485,0.62
pork trotter,PORK NECK,0.92708087,4.03
bean bacon soup,BACON,0.8124134,4.03
watermelon juice,WATERMELON,0.9379966,0.52
red wine vinaigrette,WINE RED,0.87068516,1.02
galanga root,TANGERIN,0.81048226,0.38
bolillo,QUINOA,0.8525356,0.96
matzo farfel,CAMEMBERT,0.82899165,7.55
pomegranate paste,POMEGRANATE,0.94437313,0.45
chocolate chip cooky,CHOCOLATE CREAM COOKY,0.9300098,1.69
mandarin segment,MANDARIN,0.95109016,0.4
chocolate icing,CHOCOLATE CREAM COOKY,0.9279491,1.69
burrata cheese,CHEESE,0.92022026,11.87
robusto cheese,CHEESE SEMIHARD,0.8653754,8.65
cream heavy,CREAM,0.83380544,5.34
vegan mozzarella cheese,CHEESE SEMIHARD,0.8404893,8.65
radiatore pasta,PASTA,0.8735441,1.24
angel food cake mix,CAKE,0.8167416,2.23
lamb tenderloin,LAMB WITH BONE,0.8453089,18.01
yeast granule,YEAST COMPRESS,0.9412821,0.82
feta cheese tomato,TOMATO CHOP,0.86057866,1.41
wheat beer,DURUM WHEAT,0.83196336,0.48
chicken stock fish,CHICKEN WITH BONE,0.8417673,3.25
vanilla schnapps,VANILLA,0.81133854,4.3
plum wine,PLUM,0.8431256,0.27
chicken breast tenderloin,CHICKEN WITH BONE,0.8844076,3.25
apple schnapps,APPLE JUICE,0.8825263,2.84
guanciale,TANGERIN,0.83103263,0.38
soppressata,CAMEMBERT,0.82097673,7.55
ra el hanout,HAKE,0.8110401,10.12
mozzarella cheddar cheese,CHEESE SEMIHARD,0.8527424,8.65
spinach noodle,SPINACH,0.889403,0.48
masa dough,BREAD MULTICEREAL,0.8105023,0.7
lamb broth,LAMB WITH BONE,0.85382116,18.01
cornflake crumb,CORNFLAKES CEREAL,0.87851506,2.64
beef tenderloin filet,BEEF WITH BONE,0.87941855,19.54
flake,OAT,0.8210665,0.7
chocolate cooky,CHOCOLATE CREAM COOKY,0.9373274,1.69
tomato jam,TOMATO,0.92422694,0.48
corn chex,CORNFLAKES CEREAL,0.86302173,2.64
chicken rice roni,CHICKEN WITH BONE,0.8418945,3.25
lemon verbena,CRANBERRY,0.8527354,0.9
dandelion green,GREEN BEAN,0.8184128,0.73
potato lengthwise,POTATO,0.8582995,0.25
submarine,SQUID,0.81638175,7.51
veal schnitzel,CELERY,0.82904136,0.32
chicken portion,CHICKEN WITH BONE,0.8700975,3.25
spinach tortellini,SPINACH,0.8988544,0.48
conchiglie,STRACCHINO,0.9182459,4.92
rigatoni,PARMIGIANO REGGIANO,0.81567085,14.08
panela cheese,CHEESE,0.8940375,11.87
wheat starch,DURUM WHEAT,0.9019169,0.48
tomatoe,TOMATO,0.9033034,0.48
chevre goat cheese,GOAT CHEESE,0.9494939,8.18
chocolate flavor pudding pie filling mix,CHOCOLATE CREAM COOKY,0.8825853,1.69
watermelon ball,WATERMELON,0.9193645,0.52
sardine tomato sauce,TOMATO CHOP,0.8798617,1.41
ginger cube,GINGER,0.84228855,0.88
beef ramen noodle,BEEF WITH BONE,0.8222764,19.54
gjetost cheese,CHEESE,0.89682585,11.87
red pear tomato,TOMATO PEEL,0.81518555,1.28
pastis,CAMEMBERT,0.83703506,7.55
rye bread pumpernickel,BUCKWHEAT FLOUR,0.8172742,1.96
sea bream,SEABASS,0.8707201,3.59
butter flavoring,BUTTER,0.84349436,9.9
green mung bean,GREEN BEAN,0.9564537,0.73
mint chocolate chip ice cream,CHOCOLATE CREAM COOKY,0.8888227,1.69
red miso paste,RED CHILLI,0.87940717,0.8
fruit syrup,PEAR JUICE,0.8353703,0.49
tomato basil oregano,TOMATO PUREE,0.84989053,1.17
panko crumb,OAT,0.8307551,0.7
corn sugar,CORNFLAKES CEREAL,0.8879495,2.64
candy corn,CORNFLAKES CEREAL,0.82987034,2.64
cashew cream,CASHEW NUT,0.87790525,1.56
pomegranate powder,POMEGRANATE,0.921594,0.45
soy cheddar cheese,SOY YOGURT,0.8467686,1.36
garlic cheese,GARLIC,0.84817755,0.67
high milk chocolate,MILK CHOCOLATE,0.84952074,3.6
beef tripe,BEEF WITH BONE,0.8866375,19.54
wheat bread grain,WHOLE WHEAT FLOUR,0.8823606,0.38
coffee extract,COFFEE POWDER,0.94515383,0.33
soy protein,SOY MEAL,0.9061958,0.62
extra coffee,COFFEE FILTER,0.8146231,0.6
oil corn,CORN CAN,0.8428813,1.36
no yolk noodle,PESTO WITHOUT GARLIC,0.82434237,2.72
water chestnut flour,SORGHUM FLOUR,0.828302,1.33
gluten flour rice,SORGHUM FLOUR,0.88983524,1.33
pineapple sherbet,PINEAPPLE JUICE,0.8810837,2.78
mutton mince,SPINACH,0.82719964,0.48
bulk hot pork sausage,PORK SAUSAGE,0.88068587,17.94
bean thread vermicelli,BEAN FLOUR,0.8500749,1.32
beef back rib,BEEF WITH BONE,0.91498584,19.54
amchoor mango powder,MANGO JUICE,0.9108921,2.96
red pepper seasoning,RED CHILLI,0.8165634,0.8
white corn tortilla chip,CORNFLAKES CEREAL,0.8330849,2.64
vegetable green bean,GREEN BEAN,0.9496794,0.73
sausage gravy,PORK SAUSAGE,0.89292157,17.94
huckleberry,CRANBERRY,0.9071728,0.9
mirliton,CARROB,0.81818247,1.1
fromage,EMMENTAL,0.8403933,8.2
pistachio ice cream,ICE CREAM,0.83220184,1.02
apricot jelly,APRICOT,0.8172722,0.36
peach jam,PEACH,0.92207277,0.43
beef pot roast,PORK SAUSAGE,0.8214356,17.94
green chartreuse liqueur,COFFEE GREEN,0.82682276,0.49
pastina,CAMEMBERT,0.8349967,7.55
plum tomato liquid,TOMATO PEEL,0.8343247,1.28
fillet walleye,PORBEAGLE,0.81792617,11.44
caul,HAKE,0.8470496,10.12
challah bread,BREAD WHOLE,0.84404093,0.78
hershey chocolate chip,HAZELNUT CHOCOLATE,0.9300967,3.43
yellow peach,PEACH,0.87621635,0.43
lasagne noodle,KETCHUP,0.82078135,1.46
wheat fusilli,DURUM WHEAT,0.88910687,0.48
meatloaf,PORK WITH BONE,0.8251138,3.5
lime cordial,LIME,0.84751785,0.22
tomato basil garlic seasoning,TOMATO PUREE,0.8188559,1.17
buttercream frosting,COCOA CAKE,0.8160764,1.97
rice krispies cereal,CORNFLAKES CEREAL,0.8563935,2.64
tri pasta,PASTA,0.9070863,1.24
citrus juice,PEAR JUICE,0.85871124,0.49
white chocolate wafer,CHOCOLATE CREAM COOKY,0.83353037,1.69
pear half juice,PEAR JUICE,0.92725176,0.49
fry bread,OAT MEAL,0.81345713,1.13
shoepeg corn,CORN CAN,0.8542795,1.36
almond powder,ALMOND PASTE,0.9490398,2.98
chipotle mayonnaise,MAYONNAISE,0.8991742,2.04
vegetable beef soup,BEEF WITH BONE,0.83413917,19.54
green sugar,GREEN BEAN,0.86443114,0.73
vegetable choice,VEGETABLE,0.90374225,0.69
hershey chocolate kiss,HAZELNUT CHOCOLATE,0.91244894,3.43
pea green,GREEN BEAN,0.867461,0.73
tomato garlic olive oil,TOMATO PEEL,0.8371963,1.28
chicken taco seasoning mix,CHICKEN WITH BONE,0.81004363,3.25
deli rotisserie chicken,CHICKEN WITH BONE,0.838382,3.25
french haricot vert green bean,GREEN BEAN,0.8158804,0.73
white chocolate liqueur,CHOCOLATE CREAM COOKY,0.8572381,1.69
basa fillet,PORBEAGLE,0.81050074,11.44
sesame salt,SESAME SEED,0.85941684,0.88
fiesta nacho cheese soup,CHEESE SEMIHARD,0.83467704,8.65
dark chocolate square,DARK CHOCOLATE,0.9547081,2.67
peameal bacon,BACON,0.9069239,4.03
lobster stock,LOBSTER,0.89236367,19.3
' n,QUORN,0.87593615,2.5
pod okra,EMMENTAL,0.82446766,8.2
pineapple juice concentrate,PINEAPPLE JUICE,0.980265,2.78
rice pilaf mix,RICE,0.82837546,2.54
angostura aromatic bitter,STARCHY ROOT,0.8289049,0.29
white baking chocolate,CHOCOLATE CREAM COOKY,0.8784597,1.69
sausage dripping,PORK SAUSAGE,0.83669233,17.94
kraft english cheese spread,CHEESE SEMIHARD,0.8650505,8.65
grapefruit zest,GRAPE,0.83787024,0.39
piloncillo,PECORINO,0.8261309,18.85
vanilla greek yogurt,YOGURT WHITE,0.8691753,2.1
spanish mackerel,MACKEREL,0.8302889,2.05
cherry jell o,CHERRY,0.8491889,0.49
pork breakfast sausage,PORK SAUSAGE,0.92043555,17.94
pomfret fish,HAKE FISH STICK,0.8451,2.14
barley malt,BARLEY,0.8519407,0.53
nutella chocolate hazelnut spread,HAZELNUT CHOCOLATE,0.95142955,3.43
butter cake,CAKE,0.8676579,2.23
beef loin,BEEF WITH BONE,0.91012406,19.54
yellow mung bean,MUNG BEAN FLOUR,0.8162297,1.49
mushroom button,MUSHROOM,0.9283769,1.78
potato pierogies,POTATO,0.853299,0.25
chocolate graham cracker,HAZELNUT CHOCOLATE,0.8994565,3.43
quinoa flour,SORGHUM FLOUR,0.8776615,1.33
spreadable goat cheese,GOAT CHEESE,0.87038124,8.18
vegetable oil not olive,PESTO WITHOUT GARLIC,0.81946415,2.72
yellow corn flour,CORNFLAKES CEREAL,0.8275783,2.64
yellow pear tomato,TOMATO PEEL,0.8413665,1.28
whey,OAT,0.839575,0.7
garlic sprout,GARLIC,0.8621011,0.67
currant juice,CURRANT,0.84777725,0.64
pork sirloin,PORK HAM,0.8965124,7.93
baby corn lengthwise,CORN CAN,0.86018276,1.36
tagliolini,STRACCHINO,0.88374007,4.92
pita bread wheat,WHOLE WHEAT FLOUR,0.8914274,0.38
godiva white chocolate liqueur,CHOCOLATE CREAM COOKY,0.8659617,1.69
sansho pepper,PEPPER,0.9042637,0.58
multi grain bread,BREAD MULTICEREAL,0.87910885,0.7
tofutti cream,CREAM,0.869292,5.34
sysco chicken base,CHICKEN WITH BONE,0.82039285,3.25
plum jelly,PLUM,0.85518336,0.27
no salt corn,PESTO WITHOUT GARLIC,0.84925306,2.72
cornmeal rolling,CORN CAN,0.86570454,1.36
lamb leg chop,LAMB WITH BONE,0.85989535,18.01
garlic seasoning,GARLIC,0.92143357,0.67
jalapeno havarti cheese,CHEESE SEMIHARD,0.8291772,8.65
runner bean,BEAN,0.8407675,0.67
wonton,QUORN,0.8878269,2.5
chocolate fudge pudding mix,CHOCOLATE CREAM COOKY,0.90915996,1.69
tomato soup mix,TOMATO CHOP,0.8811172,1.41
sugar apricot jam,CRANBERRY JUICE,0.8543239,2.88
wheat gluten,DURUM WHEAT,0.8851759,0.48
concord grape,GRAPE,0.8744478,0.39
fleischmann yeast,YEAST COMPRESS,0.8696573,0.82
cooking cream,CREAM,0.81464,5.34
safflower oil corn,CORN CAN,0.8607545,1.36
chicken stock turkey,CHICKEN WITH BONE,0.8440187,3.25
bite mozzarella cheese ball,CHEESE SEMIHARD,0.8133209,8.65
nonfat greek yogurt,YOGURT WHITE,0.82412666,2.1
tempura flour,MILLET FLOUR,0.91214526,1.37
bock beer,BEER IN CAN,0.8333301,0.69
aburage,HAKE,0.84388566,10.12
shitake mushroom,MUSHROOM,0.92355096,1.78
chocolate liqueur godiva,CHOCOLATE CREAM COOKY,0.90296936,1.69
corn relish,CORN CAN,0.89521533,1.36
chocolate milk mix,MILK CHOCOLATE,0.9489208,3.6
chocolate sauce,CHOCOLATE,0.9390212,6.6
pork filet,PORK NECK,0.94282985,4.03
grain breadcrumb,BREAD MULTICEREAL,0.814702,0.7
skin chicken thigh,CHICKEN WITH BONE,0.86536205,3.25
cranberry jelly,CRANBERRY JUICE,0.9153749,2.88
cheese cheddar,CHEESE SEMIHARD,0.8979517,8.65
potato homestyle,POTATO,0.8643,0.25
scalloped potato mix,POTATO,0.8266323,0.25
veal mince,CUCUMBER,0.823702,0.32
',QUORN,0.8660348,2.5
rice flour brown,MUNG BEAN FLOUR,0.85084647,1.49
matzoh,HAKE,0.8741665,10.12
rib eye steak each,BEEF WITH BONE,0.82098687,19.54
lemon marmalade,CRANBERRY JUICE,0.852785,2.88
sugar cookie mix,HAZELNUT CREAM,0.82640874,2.71
watermelon schnapps,WATERMELON,0.8986245,0.52
coconut butter,COCONUT MILK,0.90839446,0.41
sun tomato puree,TOMATO PUREE,0.88362736,1.17
venison stew meat,PORK SAUSAGE,0.8101604,17.94
de leche,HAKE,0.8573515,10.12
extra pork,PORK SAUSAGE,0.84404546,17.94
white peach,PEACH,0.8564289,0.43
masticha,TANGERIN,0.8381771,0.38
green pepper flake,GREEN BEAN,0.8219882,0.73
zest orange,ORANGE,0.93717873,0.35
vanilla chip,VANILLA,0.87369305,4.3
strawberry jelly crystal,STRAWBERRY JUICE,0.9137595,2.68
citric,TANGERIN,0.8307482,0.38
side bacon,BACON,0.95300764,4.03
apricot half juice,APRICOT,0.8717022,0.36
cake crumb,CAKE,0.9035906,2.23
soy bean oil,SOYBEAN OIL,0.9185016,2.3
banana chip,BANANA,0.9245132,0.38
green papaya,GREEN BEAN,0.8747706,0.73
turkey liver,TURKEY WITH BONE,0.8315735,2.08
elderberry flower,CRANBERRY,0.84231156,0.9
avocado leaf,AVOCADO,0.92480946,0.54
mango peach salsa,MANGO JUICE,0.8211914,2.96
pomegranate concentrate,POMEGRANATE,0.95100325,0.45
sesame ginger marinade,SESAME SEED,0.81331,0.88
dark chocolate melt,DARK CHOCOLATE,0.90632707,2.67
vegetable corn,CORN CAN,0.83972645,1.36
veg,CAMEMBERT,0.81376797,7.55
certo,CAMEMBERT,0.8823756,7.55
fontinella cheese,CHEESE,0.849911,11.87
licorice root,CRANBERRY,0.8639893,0.9
cape gooseberry,GOOSEBERRY,0.87526846,0.84
ro tel tomato pepper,TOMATO PEEL,0.85542476,1.28
juice lime,ORANGE JUICE,0.8196292,0.62
freestone peach,PEACH,0.8940494,0.43
beef medallion,BEEF WITH BONE,0.9090295,19.54
wheat biscuit,WHOLE WHEAT FLOUR,0.9033477,0.38
deli pepperoni,ZUCCHINI,0.8356905,0.65
sugar crystal,BEET SUGAR,0.84433913,0.89
broccoli raab,BROCCOLI,0.92322594,0.67
cloudberry,GOOSEBERRY,0.8258463,0.84
splenda sugar baking,BEET SUGAR,0.8290873,0.89
sorrel leaf,CAULIFLOWER,0.8180861,0.32
almond filling,ALMOND PASTE,0.94908607,2.98
butter oil,BUTTER,0.89523256,9.9
almond extract vanilla,ALMOND CHOCOLATE,0.84321725,4.8
hot egg noodle,EGG PASTA,0.8309329,3.19
sugar orange marmalade,CRANBERRY JUICE,0.8652222,2.88
lingonberry jam,CRANBERRY JUICE,0.92629814,2.88
korean soy bean paste,SOY MEAL,0.81327,0.62
milk greek yogurt,SOY YOGURT,0.8805243,1.36
strawberry cream cheese,STRAWBERRY JUICE,0.88263583,2.68
extra olive oil,OLIVE OIL,0.8752632,3.84
almond syrup,ALMOND PASTE,0.93618524,2.98
beef steak fillet,BEEF WITH BONE,0.8891485,19.54
mahleb,HAKE,0.85039777,10.12
cornbread muffin mix,CORNFLAKES CEREAL,0.8607836,2.64
banana squash,BANANA,0.8821423,0.38
jamon serrano,ALFONSINO,0.8338902,3.49
curd cheese,CHEESE,0.88151443,11.87
fillet rainbow trout,TROUT,0.8537241,3.65
garbanzo bean liquid,MUNG BEAN FLOUR,0.8828374,1.49
grapefruit juice concentrate,PEAR JUICE,0.831988,0.49
vegetable corn oil,CORN CAN,0.82315415,1.36
pepper bacon,BACON,0.88945293,4.03
pimento green olive,GREEN BEAN,0.84940326,0.73
soya granule,SOY MEAL,0.88952935,0.62
veal stock chicken,CHICKEN WITH BONE,0.86636776,3.25
beef t steak,BEEF WITH BONE,0.88718385,19.54
chicken breast cutlet,CHICKEN WITH BONE,0.87920415,3.25
gammon steak,BEEF WITH BONE,0.8185567,19.54
breadcrumb panko,BREAD WHOLE,0.8570452,0.78
pomegranate aril,POMEGRANATE,0.951282,0.45
spice cake mix,CAKE,0.86449623,2.23
pilsner beer,BEER IN GLASS,0.8541584,1.03
tubetti pasta,PASTA,0.906454,1.24
lemon vinaigrette,CRANBERRY JUICE,0.8128066,2.88
apricot fruit,APRICOT,0.92212164,0.36
tomato sauce mushroom,TOMATO CHOP,0.848121,1.41
veg vegetable,VEGETABLE,0.8566348,0.69
popped corn,CORN CAN,0.8855158,1.36
chicken stock salt,CHICKEN WITH BONE,0.8308456,3.25
feta cheese herb,CHEESE SEMIHARD,0.84996206,8.65
hazelnut syrup,HAZELNUT CREAM,0.9465419,2.71
chocolate pudding,CHOCOLATE CREAM COOKY,0.9140274,1.69
raspberry cranberry juice concentrate,CRANBERRY JUICE,0.97102237,2.88
wheat penne pasta,WHOLE WHEAT FLOUR,0.8291464,0.38
soda cracker crumb,FLAVOR CRACKER,0.85885394,1.01
chocolate wafer cooky,CHOCOLATE CREAM COOKY,0.90342736,1.69
fesh coconut,COCONUT,0.92230105,1.78
beef chuck shoulder pot roast,PORK SAUSAGE,0.81143856,17.94
plum rom tomato,TOMATO ARRABBIATA,0.83709824,1.26
plum preserve,PLUM,0.90109825,0.27
melon seed,MELON,0.8648269,0.56
carrot diagonally,CARROT CAN,0.8501212,1.6
pineapple concentrate,PINEAPPLE,0.96161795,0.34
ice cream topping,ICE CREAM,0.9812046,1.02
fillet swai fish,HAKE FISH STICK,0.8965328,2.14
becel margarine,MARGARINE,0.92459196,1.43
pea corn,CORN CAN,0.87263083,1.36
tempura shrimp,SHRIMP,0.9002106,11.95
bresaola,STRACCHINO,0.89316046,4.92
chocolate ripple biscuit,HAZELNUT CHOCOLATE,0.90956414,3.43
gur,QUORN,0.86122906,2.5
dove,HONEY,0.8102919,1.74
anchovy essence,ANCHOVY,0.9254736,0.81
wheat bagel,WHOLE WHEAT FLOUR,0.88339293,0.38
potato cheese pierogies,CHEESE SEMIHARD,0.8111675,8.65
peanut oil olive,PEANUT OIL,0.89619446,2.9
vegetable zucchini,ZUCCHINI,0.8641808,0.65
pineapple juice apple,PINEAPPLE JUICE,0.9247343,2.78
neufchatel cheese cream,CHOCOLATE CREAM COOKY,0.8113756,1.69
beef double bouillon cube,BEEF WITH BONE,0.8264146,19.54
wine red,WINE RED,1.0000001,1.02
gai lan,HAKE,0.84053165,10.12
cranberry raspberry juice,CRANBERRY JUICE,0.9802027,2.88
citrus zest,PEAR JUICE,0.81748545,0.49
white cranberry juice,CRANBERRY JUICE,0.915027,2.88
chocolate hazelnut,HAZELNUT CHOCOLATE,0.98582363,3.43
beef chicken,CHICKEN WITH BONE,0.8593493,3.25
sesame oil peanut,PEANUT OIL,0.8816997,2.9
strawberry juice,STRAWBERRY JUICE,1.0000002,2.68
brioche,CAMEMBERT,0.8467228,7.55
root vegetable,VEGETABLE,0.89773524,0.69
cake tofu,CAKE,0.8309502,2.23
tamarind,LETTUCE,0.8721925,0.4
hazelnut coffee,HAZELNUT CREAM,0.8897456,2.71
piri pepper,PEPPER,0.8773675,0.58
contadina tomato paste,TOMATO PEEL,0.9209682,1.28
burghul wheat,DURUM WHEAT,0.94490916,0.48
orange roughy,ORANGE,0.870138,0.35
soybean oil vegetable,SOYBEAN OIL,0.9393009,2.3
head celery,CELERY,0.91322935,0.32
alphonso mango,MANGO JUICE,0.8876641,2.96
plum juice,PLUM,0.85104024,0.27
mango ice cream,STRAWBERRY JUICE,0.8428667,2.68
red zinfandel wine,WINE RED,0.8605807,1.02
caramel sundae syrup,HAZELNUT CREAM,0.8244175,2.71
mackerel tomato sauce,TOMATO PEEL,0.8362791,1.28
peanut oil safflower,PEANUT OIL,0.941312,2.9
carrot lengthwise,CARROT CAN,0.8370632,1.6
ear baby corn,CORN CAN,0.8584639,1.36
tasso,GHERKIN,0.8309877,0.23
bagoong,TANGERIN,0.8181299,0.38
superfine sugar caster,BEET SUGAR,0.8600781,0.89
pork tongue,PORK NECK,0.9660781,4.03
chicken tender breast,CHICKEN WITH BONE,0.85215867,3.25
pork chicharron,PORK HAM,0.90934235,7.93
lard oil,RADISH,0.81173,0.15
claret wine,WINE WHITE,0.8284762,0.74
fatty pork,PORK NECK,0.8517985,4.03
chermoula,HAKE,0.8330651,10.12
soya oil,SOYBEAN OIL,0.91069317,2.3
natural chunky peanut butter,PEANUT BUTTER,0.8432232,1.15
crayfish,SWARDFISH,0.88646054,12.84
sauce peri,COOKY,0.8221517,1.5
panini bread,BREAD WHOLE,0.8494077,0.78
cucuzza,CAMEMBERT,0.8316593,7.55
unripe banana,BANANA,0.8156314,0.38
banana blossom,BANANA,0.8885758,0.38
tubetti,PECORINO,0.836006,18.85
peanut brittle,PEANUT PASTE,0.9170503,1.84
wheat chex,DURUM WHEAT,0.9025158,0.48
filbert,CAMEMBERT,0.82850134,7.55
spray,WATER,0.87213826,0.49
vegetable cube,VEGETABLE,0.8419203,0.69
hunt tomato,TOMATO,0.83010626,0.48
coffee mate,COFFEE FILTER,0.9122019,0.6
graham cracker crumb crust,WHOLEGRAIN CRACKER,0.84398806,0.99
beef stew,BEEF WITH BONE,0.86804867,19.54
labneh,EMMENTAL,0.8293916,8.2
food mayonnaise,MAYONNAISE,0.93155104,2.04
honeycomb beef tripe,BEEF WITH BONE,0.8412186,19.54
red chilli padi,RED CHILLI,0.94365305,0.8
quorn tender,WHITING,0.83075356,2.66
sugar cookie dough,COCOA CAKE,0.8388043,1.97
red pepper from,RED CHILLI,0.8385687,0.8
chocolate egg,CHOCOLATE,0.8849576,6.6
penne rigate wheat,DURUM WHEAT,0.92895395,0.48
whiting fish fillet,HAKE FISH STICK,0.8724184,2.14
garlic toast,GARLIC,0.8372475,0.67
gluten cornflour,CORNFLAKES CEREAL,0.84859526,2.64
nutty wheat flour,WHEAT PLAIN FLOUR,0.8723463,0.61
tart,OAT,0.8133415,0.7
caciocavallo,STRACCHINO,0.8658124,4.92
nut pistachio,PISTACHIO,0.9313879,1.6
nut peanut,PEANUT,0.8894907,0.89
chicken skin,CHICKEN WITH BONE,0.8258492,3.25
apricot marmalade,APRICOT,0.88346606,0.36
yogurt cheese,YOGURT WHITE,0.9499335,2.1
liver sausage,PORK SAUSAGE,0.8285132,17.94
durum flour,MILLET FLOUR,0.9042325,1.37
caper berry,RASPBERRY,0.8447983,0.63
cod fillet portion,COD FISH STICK,0.86460763,2.14
roast chicken seasoning,CHICKEN WITH BONE,0.81273854,3.25
goat milk feta,GOAT MILK,0.93478537,1.44
green swiss chard,GREEN BEAN,0.81361747,0.73
hamour fillet,HAKE,0.8500459,10.12
stock vegetable,VEGETABLE,0.89134514,0.69
linguine rice noodle,RICE MILK,0.83592814,0.8
capon,CAMEMBERT,0.8733556,7.55
indonesian soy sauce,SOY MEAL,0.8573103,0.62
banana ketchup,BANANA,0.82247376,0.38
raita,HAKE,0.865388,10.12
pea shoot,PEA,0.8372189,0.58
thai eggplant,EGGPLANT,0.8278152,0.45
chicken stock meat,CHICKEN WITH BONE,0.8832674,3.25
kraft cheese,CHEESE SEMIHARD,0.8622488,8.65
mafalda pasta,PASTA,0.90937406,1.24
sugar lemon gelatin,CRANBERRY JUICE,0.85864544,2.88
vegetable peanut oil,PEANUT OIL,0.8380486,2.9
tomato oregano salad dressing,TOMATO CHOP,0.83095104,1.41
fish fillet choice,HAKE FISH STICK,0.8629837,2.14
rock lobster tail,LOBSTER,0.82849896,19.3
red kashmiri chilies,RED CHILLI,0.8183501,0.8
cashew paste,CASHEW NUT,0.9407004,1.56
lamb mince,LAMB WITH BONE,0.86566097,18.01
lamb sausage,PORK SAUSAGE,0.84362894,17.94
natural yoghurt greek yogurt,YOGURT WHITE,0.85336024,2.1
bel paese cheese,CHEESE,0.84247684,11.87
campbell beef consomme soup,BEEF WITH BONE,0.8150882,19.54
sugar bean,BEET SUGAR,0.8902143,0.89
hung curd,OAT,0.81982374,0.7
coconut amino,COCONUT,0.9134526,1.78
fruit nut,PEAR,0.8503369,0.29
pita bread crosswise,BREAD MULTICEREAL,0.8402291,0.7
kashk,HAKE,0.85452336,10.12
liquid egg,EGG,0.8245133,3.23
poha,HAKE,0.8355055,10.12
onion lengthwise,ONION,0.8843557,0.24
injera bread,BREAD WHOLE,0.8578596,0.78
banana flavoring,BANANA,0.83006334,0.38
